Report Date,Summary Indicator,Summary Indicator Value
03/02/2021,Number of Outbreak Associated Cases,"65,062"
03/02/2021,Number of PCR Testing Encounters,"5,928,679"
03/02/2021,Current 7-Day Percent Positivity,6.7%
03/02/2021,MIS-C Cases,35
03/02/2021,MIS-C Deaths,0
03/03/2021,Total Cases,"580,108"
03/03/2021,New Cases,"1,549"
03/03/2021,Confirmed Cases,"456,462"
03/03/2021,Probable Cases,"123,646"
03/03/2021,Total Hospitalizations,"24,354"
03/03/2021,Confirmed Hospitalizations,"23,086"
03/03/2021,Probable Hospitalizations,"1,268"
03/03/2021,Total Deaths,"9,326"
03/03/2021,Confirmed Deaths,"7,993"
03/03/2021,Probable Deaths,"1,333"
03/03/2021,Number of Outbreaks,"2,647"
03/03/2021,Number of Outbreak Associated Cases,"65,272"
03/03/2021,Number of PCR Testing Encounters,"5,946,972"
03/03/2021,Current 7-Day Percent Positivity,6.5%
03/03/2021,MIS-C Cases,36
03/03/2021,MIS-C Deaths,0
03/04/2021,Total Cases,"581,408"
03/04/2021,New Cases,"1,300"
03/04/2021,Confirmed Cases,"457,348"
03/04/2021,Probable Cases,"124,060"
03/04/2021,Total Hospitalizations,"24,414"
03/04/2021,Confirmed Hospitalizations,"23,138"
03/04/2021,Probable Hospitalizations,"1,276"
03/04/2021,Total Deaths,"9,357"
03/04/2021,Confirmed Deaths,"8,018"
03/04/2021,Probable Deaths,"1,339"
03/04/2021,Number of Outbreaks,"2,654"
03/04/2021,Number of Outbreak Associated Cases,"65,404"
03/04/2021,Number of PCR Testing Encounters,"5,972,272"
03/04/2021,Current 7-Day Percent Positivity,6.2%
03/04/2021,MIS-C Cases,37
03/04/2021,MIS-C Deaths,0
03/05/2021,Total Cases,"583,060"
03/05/2021,New Cases,"1,652"
03/05/2021,Confirmed Cases,"458,696"
03/05/2021,Probable Cases,"124,364"
03/05/2021,Total Hospitalizations,"24,514"
03/05/2021,Confirmed Hospitalizations,"23,232"
03/05/2021,Probable Hospitalizations,"1,282"
03/05/2021,Total Deaths,"9,428"
03/05/2021,Confirmed Deaths,"8,049"
03/05/2021,Probable Deaths,"1,379"
03/05/2021,Number of Outbreaks,"2,660"
03/05/2021,Number of Outbreak Associated Cases,"65,585"
03/05/2021,Number of PCR Testing Encounters,"5,996,828"
03/05/2021,Current 7-Day Percent Positivity,6.2%
03/05/2021,MIS-C Cases,38
03/05/2021,MIS-C Deaths,0
03/06/2021,Total Cases,"584,537"
03/06/2021,New Cases,"1,477"
03/06/2021,Confirmed Cases,"460,273"
03/06/2021,Probable Cases,"124,264"
03/06/2021,Total Hospitalizations,"24,637"
03/06/2021,Confirmed Hospitalizations,"23,366"
03/06/2021,Probable Hospitalizations,"1,271"
03/06/2021,Total Deaths,"9,519"
03/06/2021,Confirmed Deaths,"8,090"
03/06/2021,Probable Deaths,"1,429"
03/06/2021,Number of Outbreaks,"2,672"
03/06/2021,Number of Outbreak Associated Cases,"65,720"
03/06/2021,Number of PCR Testing Encounters,"6,018,284"
03/06/2021,Current 7-Day Percent Positivity,6.2%
03/06/2021,MIS-C Cases,38
03/06/2021,MIS-C Deaths,0
03/07/2021,Total Cases,"585,700"
03/07/2021,New Cases,"1,163"
03/07/2021,Confirmed Cases,"461,172"
03/07/2021,Probable Cases,"124,528"
03/07/2021,Total Hospitalizations,"24,661"
03/07/2021,Confirmed Hospitalizations,"23,402"
03/07/2021,Probable Hospitalizations,"1,259"
03/07/2021,Total Deaths,"9,596"
03/07/2021,Confirmed Deaths,"8,104"
03/07/2021,Probable Deaths,"1,492"
03/07/2021,Number of Outbreaks,"2,683"
03/07/2021,Number of Outbreak Associated Cases,"65,865"
03/07/2021,Number of PCR Testing Encounters,"6,038,209"
03/07/2021,Current 7-Day Percent Positivity,6.2%
03/07/2021,MIS-C Cases,38
03/07/2021,MIS-C Deaths,0
03/08/2021,Total Cases,"586,592"
03/08/2021,New Cases,892
03/08/2021,Confirmed Cases,"461,808"
03/08/2021,Probable Cases,"124,784"
03/08/2021,Total Hospitalizations,"24,705"
03/08/2021,Confirmed Hospitalizations,"23,446"
03/08/2021,Probable Hospitalizations,"1,259"
03/08/2021,Total Deaths,"9,683"
03/08/2021,Confirmed Deaths,"8,117"
03/08/2021,Probable Deaths,"1,566"
03/08/2021,Number of Outbreaks,"2,684"
03/08/2021,Number of Outbreak Associated Cases,"65,878"
03/08/2021,Number of PCR Testing Encounters,"6,050,079"
03/08/2021,Current 7-Day Percent Positivity,6%
03/08/2021,MIS-C Cases,38
03/08/2021,MIS-C Deaths,0
03/09/2021,Total Cases,"588,129"
03/09/2021,New Cases,"1,537"
03/09/2021,Confirmed Cases,"463,522"
03/09/2021,Probable Cases,"124,607"
03/09/2021,Total Hospitalizations,"24,841"
03/09/2021,Confirmed Hospitalizations,"23,608"
03/09/2021,Probable Hospitalizations,"1,233"
03/09/2021,Total Deaths,"9,790"
03/09/2021,Confirmed Deaths,"8,162"
03/09/2021,Probable Deaths,"1,628"
03/09/2021,Number of Outbreaks,"2,691"
03/09/2021,Number of Outbreak Associated Cases,"66,005"
03/09/2021,Number of PCR Testing Encounters,"6,066,323"
03/09/2021,Current 7-Day Percent Positivity,5.7%
03/09/2021,MIS-C Cases,39
03/09/2021,MIS-C Deaths,0
03/10/2021,Total Cases,"589,375"
03/10/2021,New Cases,"1,246"
03/10/2021,Confirmed Cases,"464,360"
03/10/2021,Probable Cases,"125,015"
03/10/2021,Total Hospitalizations,"24,925"
03/10/2021,Confirmed Hospitalizations,"23,690"
03/10/2021,Probable Hospitalizations,"1,235"
03/10/2021,Total Deaths,"9,849"
03/10/2021,Confirmed Deaths,"8,217"
03/10/2021,Probable Deaths,"1,632"
03/10/2021,Number of Outbreaks,"2,697"
03/10/2021,Number of Outbreak Associated Cases,"66,166"
03/10/2021,Number of PCR Testing Encounters,"6,083,095"
03/10/2021,Current 7-Day Percent Positivity,5.7%
03/10/2021,MIS-C Cases,42
03/10/2021,MIS-C Deaths,0
03/11/2021,Total Cases,"590,625"
03/11/2021,New Cases,"1,250"
03/11/2021,Confirmed Cases,"465,239"
03/11/2021,Probable Cases,"125,386"
03/11/2021,Total Hospitalizations,"25,061"
03/11/2021,Confirmed Hospitalizations,"23,820"
03/11/2021,Probable Hospitalizations,"1,241"
03/11/2021,Total Deaths,"9,902"
03/11/2021,Confirmed Deaths,"8,274"
03/11/2021,Probable Deaths,"1,628"
03/11/2021,Number of Outbreaks,"2,705"
03/11/2021,Number of Outbreak Associated Cases,"66,313"
03/11/2021,Number of PCR Testing Encounters,"6,105,028"
03/11/2021,Current 7-Day Percent Positivity,5.5%
03/11/2021,MIS-C Cases,42
03/11/2021,MIS-C Deaths,0
03/12/2021,Total Cases,"592,214"
03/12/2021,New Cases,"1,589"
03/12/2021,Confirmed Cases,"466,330"
03/12/2021,Probable Cases,"125,884"
03/12/2021,Total Hospitalizations,"25,216"
03/12/2021,Confirmed Hospitalizations,"23,962"
03/12/2021,Probable Hospitalizations,"1,254"
03/12/2021,Total Deaths,"9,961"
03/12/2021,Confirmed Deaths,"8,326"
03/12/2021,Probable Deaths,"1,635"
03/12/2021,Number of Outbreaks,"2,708"
03/12/2021,Number of Outbreak Associated Cases,"66,399"
03/12/2021,Number of PCR Testing Encounters,"6,132,452"
03/12/2021,Current 7-Day Percent Positivity,5.4%
03/12/2021,MIS-C Cases,43
03/12/2021,MIS-C Deaths,0
03/13/2021,Total Cases,"593,562"
03/13/2021,New Cases,"1,348"
03/13/2021,Confirmed Cases,"467,237"
03/13/2021,Probable Cases,"126,325"
03/13/2021,Total Hospitalizations,"25,262"
03/13/2021,Confirmed Hospitalizations,"24,005"
03/13/2021,Probable Hospitalizations,"1,257"
03/13/2021,Total Deaths,"9,985"
03/13/2021,Confirmed Deaths,"8,352"
03/13/2021,Probable Deaths,"1,633"
03/13/2021,Number of Outbreaks,"2,713"
03/13/2021,Number of Outbreak Associated Cases,"66,721"
03/13/2021,Number of PCR Testing Encounters,"6,155,837"
03/13/2021,Current 7-Day Percent Positivity,5.4%
03/13/2021,MIS-C Cases,43
03/13/2021,MIS-C Deaths,0
03/14/2021,Total Cases,"594,735"
03/14/2021,New Cases,"1,173"
03/14/2021,Confirmed Cases,"467,995"
03/14/2021,Probable Cases,"126,740"
03/14/2021,Total Hospitalizations,"25,297"
03/14/2021,Confirmed Hospitalizations,"24,039"
03/14/2021,Probable Hospitalizations,"1,258"
03/14/2021,Total Deaths,"10,019"
03/14/2021,Confirmed Deaths,"8,381"
03/14/2021,Probable Deaths,"1,638"
03/14/2021,Number of Outbreaks,"2,697"
03/14/2021,Number of Outbreak Associated Cases,"66,672"
03/14/2021,Number of PCR Testing Encounters,"6,174,378"
03/14/2021,Current 7-Day Percent Positivity,5.5%
03/14/2021,MIS-C Cases,43
03/14/2021,MIS-C Deaths,0
03/16/2021,Total Cases,"597,141"
03/16/2021,New Cases,"1,276"
03/16/2021,Confirmed Cases,"469,573"
03/16/2021,Probable Cases,"127,568"
03/16/2021,Total Hospitalizations,"25,439"
03/16/2021,Confirmed Hospitalizations,"24,163"
03/16/2021,Probable Hospitalizations,"1,276"
03/16/2021,Total Deaths,"10,104"
03/16/2021,Confirmed Deaths,"8,438"
03/16/2021,Probable Deaths,"1,666"
03/16/2021,Number of Outbreaks,"2,737"
03/16/2021,Number of Outbreak Associated Cases,"67,231"
03/16/2021,Number of PCR Testing Encounters,"6,202,924"
03/16/2021,Current 7-Day Percent Positivity,5.2%
03/16/2021,MIS-C Cases,43
03/16/2021,MIS-C Deaths,0
03/17/2021,Total Cases,"598,468"
03/17/2021,New Cases,"1,327"
03/17/2021,Confirmed Cases,"470,403"
03/17/2021,Probable Cases,"128,065"
03/17/2021,Total Hospitalizations,"25,517"
03/17/2021,Confirmed Hospitalizations,"24,233"
03/17/2021,Probable Hospitalizations,"1,284"
03/17/2021,Total Deaths,"10,154"
03/17/2021,Confirmed Deaths,"8,470"
03/17/2021,Probable Deaths,"1,684"
03/17/2021,Number of Outbreaks,"2,751"
03/17/2021,Number of Outbreak Associated Cases,"67,417"
03/17/2021,Number of PCR Testing Encounters,"6,220,455"
03/17/2021,Current 7-Day Percent Positivity,5.4%
03/17/2021,MIS-C Cases,44
03/17/2021,MIS-C Deaths,0
03/18/2021,Total Cases,"600,550"
03/18/2021,New Cases,"2,082"
03/18/2021,Confirmed Cases,"471,770"
03/18/2021,Probable Cases,"128,780"
03/18/2021,Total Hospitalizations,"25,611"
03/18/2021,Confirmed Hospitalizations,"24,320"
03/18/2021,Probable Hospitalizations,"1,291"
03/18/2021,Total Deaths,"10,182"
03/18/2021,Confirmed Deaths,"8,498"
03/18/2021,Probable Deaths,"1,684"
03/18/2021,Number of Outbreaks,"2,761"
03/18/2021,Number of Outbreak Associated Cases,"67,455"
03/18/2021,Number of PCR Testing Encounters,"6,248,924"
03/18/2021,Current 7-Day Percent Positivity,5.5%
03/18/2021,MIS-C Cases,45
03/18/2021,MIS-C Deaths,0
03/19/2021,Total Cases,"602,182"
03/19/2021,New Cases,"1,632"
03/19/2021,Confirmed Cases,"472,799"
03/19/2021,Probable Cases,"129,383"
03/19/2021,Total Hospitalizations,"25,711"
03/19/2021,Confirmed Hospitalizations,"24,412"
03/19/2021,Probable Hospitalizations,"1,299"
03/19/2021,Total Deaths,"10,092"
03/19/2021,Confirmed Deaths,"8,450"
03/19/2021,Probable Deaths,"1,642"
03/19/2021,Number of Outbreaks,"2,778"
03/19/2021,Number of Outbreak Associated Cases,"67,711"
03/19/2021,Number of PCR Testing Encounters,"6,273,145"
03/19/2021,Current 7-Day Percent Positivity,5.5%
03/19/2021,MIS-C Cases,46
03/19/2021,MIS-C Deaths,0
03/20/2021,Total Cases,"603,745"
03/20/2021,New Cases,"1,563"
03/20/2021,Confirmed Cases,"473,832"
03/20/2021,Probable Cases,"129,913"
03/20/2021,Total Hospitalizations,"25,758"
03/20/2021,Confirmed Hospitalizations,"24,453"
03/20/2021,Probable Hospitalizations,"1,305"
03/20/2021,Total Deaths,"10,104"
03/20/2021,Confirmed Deaths,"8,463"
03/20/2021,Probable Deaths,"1,641"
03/20/2021,Number of Outbreaks,"2,786"
03/20/2021,Number of Outbreak Associated Cases,"67,874"
03/20/2021,Number of PCR Testing Encounters,"6,295,968"
03/20/2021,Current 7-Day Percent Positivity,5.5%
03/20/2021,MIS-C Cases,47
03/20/2021,MIS-C Deaths,0
03/22/2021,Total Cases,"605,967"
03/22/2021,New Cases,"1,063"
03/22/2021,Confirmed Cases,"475,385"
03/22/2021,Probable Cases,"130,582"
03/22/2021,Total Hospitalizations,"25,820"
03/22/2021,Confirmed Hospitalizations,"24,520"
03/22/2021,Probable Hospitalizations,"1,300"
03/22/2021,Total Deaths,"10,127"
03/22/2021,Confirmed Deaths,"8,484"
03/22/2021,Probable Deaths,"1,643"
03/22/2021,Number of Outbreaks,"2,787"
03/22/2021,Number of Outbreak Associated Cases,"67,919"
03/22/2021,Number of PCR Testing Encounters,"6,324,508"
03/22/2021,Current 7-Day Percent Positivity,5.5%
03/22/2021,MIS-C Cases,47
03/22/2021,MIS-C Deaths,0
03/23/2021,Total Cases,"607,234"
03/23/2021,New Cases,"1,267"
03/23/2021,Confirmed Cases,"476,123"
03/23/2021,Probable Cases,"131,111"
03/23/2021,Total Hospitalizations,"25,948"
03/23/2021,Confirmed Hospitalizations,"24,631"
03/23/2021,Probable Hospitalizations,"1,317"
03/23/2021,Total Deaths,"10,137"
03/23/2021,Confirmed Deaths,"8,497"
03/23/2021,Probable Deaths,"1,640"
03/23/2021,Number of Outbreaks,"2,800"
03/23/2021,Number of Outbreak Associated Cases,"68,117"
03/23/2021,Number of PCR Testing Encounters,"6,337,388"
03/23/2021,Current 7-Day Percent Positivity,5.5%
03/23/2021,MIS-C Cases,47
03/23/2021,MIS-C Deaths,0
03/24/2021,Total Cases,"608,704"
03/24/2021,New Cases,"1,470"
03/24/2021,Confirmed Cases,"476,936"
03/24/2021,Probable Cases,"131,768"
03/24/2021,Total Hospitalizations,"26,037"
03/24/2021,Confirmed Hospitalizations,"24,712"
03/24/2021,Probable Hospitalizations,"1,325"
03/24/2021,Total Deaths,"10,143"
03/24/2021,Confirmed Deaths,"8,503"
03/24/2021,Probable Deaths,"1,640"
03/24/2021,Number of Outbreaks,"2,808"
03/24/2021,Number of Outbreak Associated Cases,"68,260"
03/24/2021,Number of PCR Testing Encounters,"6,356,719"
03/24/2021,Current 7-Day Percent Positivity,5.5%
03/24/2021,MIS-C Cases,48
03/24/2021,MIS-C Deaths,0
03/25/2021,Total Cases,"610,263"
03/25/2021,New Cases,"1,559"
03/25/2021,Confirmed Cases,"477,880"
03/25/2021,Probable Cases,"132,383"
03/25/2021,Total Hospitalizations,"26,087"
03/25/2021,Confirmed Hospitalizations,"24,756"
03/25/2021,Probable Hospitalizations,"1,331"
03/25/2021,Total Deaths,"10,147"
03/25/2021,Confirmed Deaths,"8,507"
03/25/2021,Probable Deaths,"1,640"
03/25/2021,Number of Outbreaks,"2,825"
03/25/2021,Number of Outbreak Associated Cases,"68,470"
03/25/2021,Number of PCR Testing Encounters,"6,380,146"
03/25/2021,Current 7-Day Percent Positivity,5.5%
03/25/2021,MIS-C Cases,48
03/25/2021,MIS-C Deaths,0
03/26/2021,Total Cases,"612,062"
03/26/2021,New Cases,"1,799"
03/26/2021,Confirmed Cases,"479,005"
03/26/2021,Probable Cases,"133,057"
03/26/2021,Total Hospitalizations,"26,144"
03/26/2021,Confirmed Hospitalizations,"24,804"
03/26/2021,Probable Hospitalizations,"1,340"
03/26/2021,Total Deaths,"10,154"
03/26/2021,Confirmed Deaths,"8,514"
03/26/2021,Probable Deaths,"1,640"
03/26/2021,Number of Outbreaks,"2,838"
03/26/2021,Number of Outbreak Associated Cases,"68,611"
03/26/2021,Number of PCR Testing Encounters,"6,398,177"
03/26/2021,Current 7-Day Percent Positivity,5.5%
03/26/2021,MIS-C Cases,48
03/26/2021,MIS-C Deaths,0
03/28/2021,Total Cases,"615,366"
03/28/2021,New Cases,"1,392"
03/28/2021,Confirmed Cases,"481,351"
03/28/2021,Probable Cases,"134,015"
03/28/2021,Total Hospitalizations,"26,243"
03/28/2021,Confirmed Hospitalizations,"24,896"
03/28/2021,Probable Hospitalizations,"1,347"
03/28/2021,Total Deaths,"10,198"
03/28/2021,Confirmed Deaths,"8,553"
03/28/2021,Probable Deaths,"1,645"
03/28/2021,Number of Outbreaks,"2,850"
03/28/2021,Number of PCR Testing Encounters,"6,442,384"
03/28/2021,Number of Outbreak Associated Cases,"68,629"
03/28/2021,Current 7-Day Percent Positivity,5.7%
03/28/2021,MIS-C Cases,48
03/28/2021,MIS-C Deaths,0
03/29/2021,Total Cases,"616,509"
03/29/2021,New Cases,"1,143"
03/29/2021,Confirmed Cases,"482,186"
03/29/2021,Probable Cases,"134,323"
03/29/2021,Total Hospitalizations,"26,280"
03/29/2021,Confirmed Hospitalizations,"24,927"
03/29/2021,Probable Hospitalizations,"1,353"
03/29/2021,Total Deaths,"10,219"
03/29/2021,Confirmed Deaths,"8,570"
03/29/2021,Probable Deaths,"1,649"
03/29/2021,Number of Outbreaks,"2,850"
03/29/2021,Number of Outbreak Associated Cases,"68,636"
03/29/2021,Number of PCR Testing Encounters,"6,452,493"
03/29/2021,Current 7-Day Percent Positivity,5.7%
03/29/2021,MIS-C Cases,48
03/29/2021,MIS-C Deaths,0
03/30/2021,Total Cases,"617,941"
03/30/2021,New Cases,"1,432"
03/30/2021,Confirmed Cases,"483,177"
03/30/2021,Probable Cases,"134,764"
03/30/2021,Total Hospitalizations,"26,367"
03/30/2021,Confirmed Hospitalizations,"24,996"
03/30/2021,Probable Hospitalizations,"1,371"
03/30/2021,Total Deaths,"10,242"
03/30/2021,Confirmed Deaths,"8,590"
03/30/2021,Probable Deaths,"1,652"
03/30/2021,Number of Outbreaks,"2,862"
03/30/2021,Number of Outbreak Associated Cases,"68,907"
03/30/2021,Number of PCR Testing Encounters,"6,466,133"
03/30/2021,Current 7-Day Percent Positivity,5.7%
03/30/2021,MIS-C Cases,49
03/30/2021,MIS-C Deaths,0
03/31/2021,Total Cases,"618,976"
03/31/2021,New Cases,"1,035"
03/31/2021,Confirmed Cases,"483,775"
03/31/2021,Probable Cases,"135,201"
03/31/2021,Total Hospitalizations,"26,455"
03/31/2021,Confirmed Hospitalizations,"25,073"
03/31/2021,Probable Hospitalizations,"1,382"
03/31/2021,Total Deaths,"10,252"
03/31/2021,Confirmed Deaths,"8,602"
03/31/2021,Probable Deaths,"1,650"
03/31/2021,Number of Outbreaks,"2,872"
03/31/2021,Number of Outbreak Associated Cases,"69,020"
03/31/2021,Number of PCR Testing Encounters,"6,482,193"
03/31/2021,Current 7-Day Percent Positivity,5.7%
03/31/2021,MIS-C Cases,51
03/31/2021,MIS-C Deaths,0
04/01/2021,Total Cases,"620,801"
04/01/2021,New Cases,"1,825"
04/01/2021,Confirmed Cases,"485,037"
04/01/2021,Probable Cases,"135,764"
04/01/2021,Total Hospitalizations,"26,536"
04/01/2021,Confirmed Hospitalizations,"25,144"
04/01/2021,Probable Hospitalizations,"1,392"
04/01/2021,Total Deaths,"10,268"
04/01/2021,Confirmed Deaths,"8,614"
04/01/2021,Probable Deaths,"1,654"
04/01/2021,Number of Outbreaks,"2,881"
04/01/2021,Number of Outbreak Associated Cases,"69,174"
04/01/2021,Number of PCR Testing Encounters,"6,503,356"
04/01/2021,Current 7-Day Percent Positivity,6.0%
04/01/2021,MIS-C Cases,50
04/01/2021,MIS-C Deaths,0
04/02/2021,Total Cases,"622,339"
04/02/2021,New Cases,"1,538"
04/02/2021,Confirmed Cases,"486,047"
04/02/2021,Probable Cases,"136,292"
04/02/2021,Total Hospitalizations,"26,609"
04/02/2021,Confirmed Hospitalizations,"25,210"
04/02/2021,Probable Hospitalizations,"1,399"
04/02/2021,Total Deaths,"10,279"
04/02/2021,Confirmed Deaths,"8,626"
04/02/2021,Probable Deaths,"1,653"
04/02/2021,Number of Outbreaks,"2,895"
04/02/2021,Number of Outbreak Associated Cases,"69,431"
04/02/2021,Number of PCR Testing Encounters,"6,524,620"
04/02/2021,Current 7-Day Percent Positivity,6.2%
04/02/2021,MIS-C Cases,50
04/02/2021,MIS-C Deaths,0
04/03/2021,Total Cases,"623,881"
04/03/2021,New Cases,"1,542"
04/03/2021,Confirmed Cases,"487,107"
04/03/2021,Probable Cases,"136,774"
04/03/2021,Total Hospitalizations,"26,669"
04/03/2021,Confirmed Hospitalizations,"25,264"
04/03/2021,Probable Hospitalizations,"1,405"
04/03/2021,Total Deaths,"10,287"
04/03/2021,Confirmed Deaths,"8,634"
04/03/2021,Probable Deaths,"1,653"
04/03/2021,Number of Outbreaks,"2,902"
04/03/2021,Number of Outbreak Associated Cases,"69,547"
04/03/2021,Number of PCR Testing Encounters,"6,544,112"
04/03/2021,Current 7-Day Percent Positivity,6.4%
04/03/2021,MIS-C Cases,50
04/03/2021,MIS-C Deaths,0
04/04/2021,Total Cases,"625,148"
04/04/2021,New Cases,"1,267"
04/04/2021,Confirmed Cases,"488,041"
04/04/2021,Probable Cases,"137,107"
04/04/2021,Total Hospitalizations,"26,706"
04/04/2021,Confirmed Hospitalizations,"25,299"
04/04/2021,Probable Hospitalizations,"1,407"
04/04/2021,Total Deaths,"10,329"
04/04/2021,Confirmed Deaths,"8,674"
04/04/2021,Probable Deaths,"1,655"
04/04/2021,Number of Outbreaks,"2,904"
04/04/2021,Number of Outbreak Associated Cases,"69,571"
04/04/2021,Number of PCR Testing Encounters,"6,565,563"
04/04/2021,Current 7-Day Percent Positivity,6.4%
04/04/2021,MIS-C Cases,50
04/04/2021,MIS-C Deaths,0
04/05/2021,Total Cases,"626,171"
04/05/2021,New Cases,"1,023"
04/05/2021,Confirmed Cases,"488,788"
04/05/2021,Probable Cases,"137,383"
04/05/2021,Total Hospitalizations,"26,725"
04/05/2021,Confirmed Hospitalizations,"25,316"
04/05/2021,Probable Hospitalizations,"1,409"
04/05/2021,Total Deaths,"10,360"
04/05/2021,Confirmed Deaths,"8,699"
04/05/2021,Probable Deaths,"1,661"
04/05/2021,Number of Outbreaks,"2,904"
04/05/2021,Number of Outbreak Associated Cases,"69,566"
04/05/2021,Number of PCR Testing Encounters,"6,578,152"
04/05/2021,Current 7-Day Percent Positivity,6.4%
04/05/2021,MIS-C Cases,50
04/05/2021,MIS-C Deaths,0
04/06/2021,Total Cases,"627,605"
04/06/2021,New Cases,"1,434"
04/06/2021,Confirmed Cases,"489,901"
04/06/2021,Probable Cases,"137,704"
04/06/2021,Total Hospitalizations,"26,815"
04/06/2021,Confirmed Hospitalizations,"25,399"
04/06/2021,Probable Hospitalizations,"1,416"
04/06/2021,Total Deaths,"10,401"
04/06/2021,Confirmed Deaths,"8,716"
04/06/2021,Probable Deaths,"1,685"
04/06/2021,Number of Outbreaks,"2,914"
04/06/2021,Number of Outbreak Associated Cases,"69,699"
04/06/2021,Number of PCR Testing Encounters,"6,590,284"
04/06/2021,Current 7-Day Percent Positivity,6.2%
04/06/2021,MIS-C Cases,52
04/06/2021,MIS-C Deaths,0
04/07/2021,Total Cases,"629,155"
04/07/2021,New Cases,"1,550"
04/07/2021,Confirmed Cases,"490,958"
04/07/2021,Probable Cases,"138,197"
04/07/2021,Total Hospitalizations,"26,911"
04/07/2021,Confirmed Hospitalizations,"25,493"
04/07/2021,Probable Hospitalizations,"1,418"
04/07/2021,Total Deaths,"10,415"
04/07/2021,Confirmed Deaths,"8,719"
04/07/2021,Probable Deaths,"1,696"
04/07/2021,Number of Outbreaks,"2,921"
04/07/2021,Number of Outbreak Associated Cases,"69,790"
04/07/2021,Number of PCR Testing Encounters,"6,608,387"
04/07/2021,Current 7-Day Percent Positivity,6.2%
04/07/2021,MIS-C Cases,52
04/07/2021,MIS-C Deaths,0
04/08/2021,Total Cases,"631,083"
04/08/2021,New Cases,"1,928"
04/08/2021,Confirmed Cases,"492,454"
04/08/2021,Probable Cases,"138,629"
04/08/2021,Total Hospitalizations,"27,012"
04/08/2021,Confirmed Hospitalizations,"25,588"
04/08/2021,Probable Hospitalizations,"1,424"
04/08/2021,Total Deaths,"10,436"
04/08/2021,Confirmed Deaths,"8,742"
04/08/2021,Probable Deaths,"1,694"
04/08/2021,Number of Outbreaks,"2,931"
04/08/2021,Number of Outbreak Associated Cases,"69,935"
04/08/2021,Number of PCR Testing Encounters,"6,635,411"
04/08/2021,Current 7-Day Percent Positivity,6.2%
04/08/2021,MIS-C Cases,54
04/08/2021,MIS-C Deaths,0
04/09/2021,Total Cases,"632,625"
04/09/2021,New Cases,"1,542"
04/09/2021,Confirmed Cases,"493,454"
04/09/2021,Probable Cases,"139,171"
04/09/2021,Total Hospitalizations,"27,099"
04/09/2021,Confirmed Hospitalizations,"25,675"
04/09/2021,Probable Hospitalizations,"1,424"
04/09/2021,Total Deaths,"10,451"
04/09/2021,Confirmed Deaths,"8,755"
04/09/2021,Probable Deaths,"1,696"
04/09/2021,Number of Outbreaks,"2,942"
04/09/2021,Number of Outbreak Associated Cases,"70,083"
04/09/2021,Number of PCR Testing Encounters,"6,658,094"
04/09/2021,Current 7-Day Percent Positivity,6.2%
04/09/2021,MIS-C Cases,54
04/09/2021,MIS-C Deaths,0
04/10/2021,Total Cases,"634,325"
04/10/2021,New Cases,"1,700"
04/10/2021,Confirmed Cases,"494,701"
04/10/2021,Probable Cases,"139,624"
04/10/2021,Total Hospitalizations,"27,161"
04/10/2021,Confirmed Hospitalizations,"25,739"
04/10/2021,Probable Hospitalizations,"1,422"
04/10/2021,Total Deaths,"10,458"
04/10/2021,Confirmed Deaths,"8,767"
04/10/2021,Probable Deaths,"1,691"
04/10/2021,Number of Outbreaks,"2,952"
04/10/2021,Number of Outbreak Associated Cases,"70,170"
04/10/2021,Number of PCR Testing Encounters,"6,680,238"
04/10/2021,Current 7-Day Percent Positivity,6.0%
04/10/2021,MIS-C Cases,54
04/10/2021,MIS-C Deaths,0
04/11/2021,Total Cases,"635,552"
04/11/2021,New Cases,"1,227"
04/11/2021,Confirmed Cases,"495,627"
04/11/2021,Probable Cases,"139,925"
04/11/2021,Total Hospitalizations,"27,201"
04/11/2021,Confirmed Hospitalizations,"25,777"
04/11/2021,Probable Hospitalizations,"1,424"
04/11/2021,Total Deaths,"10,472"
04/11/2021,Confirmed Deaths,"8,780"
04/11/2021,Probable Deaths,"1,692"
04/11/2021,Number of Outbreaks,"2,957"
04/11/2021,Number of Outbreak Associated Cases,"70,196"
04/11/2021,Number of PCR Testing Encounters,"6,698,109"
04/11/2021,Current 7-Day Percent Positivity,6.0%
04/11/2021,MIS-C Cases,54
04/11/2021,MIS-C Deaths,0
04/12/2021,Total Cases,"636,862"
04/12/2021,New Cases,"1,310"
04/12/2021,Confirmed Cases,"496,623"
04/12/2021,Probable Cases,"140,239"
04/12/2021,Total Hospitalizations,"27,229"
04/12/2021,Confirmed Hospitalizations,"25,804"
04/12/2021,Probable Hospitalizations,"1,425"
04/12/2021,Total Deaths,"10,486"
04/12/2021,Confirmed Deaths,"8,794"
04/12/2021,Probable Deaths,"1,692"
04/12/2021,Number of Outbreaks,"2,963"
04/12/2021,Number of Outbreak Associated Cases,"70,226"
04/12/2021,Number of PCR Testing Encounters,"6,710,355"
04/12/2021,Current 7-Day Percent Positivity,6.0%
04/12/2021,MIS-C Cases,54
04/12/2021,MIS-C Deaths,0
04/13/2021,Total Cases,"638,910"
04/13/2021,New Cases,"2,048"
04/13/2021,Confirmed Cases,"497,840"
04/13/2021,Probable Cases,"141,070"
04/13/2021,Total Hospitalizations,"27,316"
04/13/2021,Confirmed Hospitalizations,"25,878"
04/13/2021,Probable Hospitalizations,"1,438"
04/13/2021,Total Deaths,"10,506"
